time,queue_bytes,queue_packets,queue_capacity_bytes,queue_delay_ms,arrival_rate_mbps,departure_rate_mbps,throughput_mbps,rtt_ms,packet_loss,packet_drop_rate,dropped_packets,drop_reason
0.0,0.0,0,100000,0.0,9.596,9.596,9.596,20.0,0,0.0,0,None
0.1,0.0,0,100000,0.0,8.934,8.934,8.934,20.0,0,0.0,0,None
0.2,0.0,0,100000,0.0,9.965,9.965,9.965,20.0,0,0.0,0,None
0.3,15255.84,10,100000,12.36,11.091,9.871,9.871,32.21,0,0.0,0,None
0.4,1591.75,1,100000,1.26,9.047,10.14,10.14,20.31,0,0.0,0,None
0.5,0.0,0,100000,0.0,9.099,9.226,9.226,20.11,0,0.0,0,None
0.6,14206.29,9,100000,11.17,11.316,10.179,10.179,31.17,0,0.0,0,None
0.7,17251.68,11,100000,13.63,10.371,10.127,10.127,33.22,0,0.0,0,None
0.8,933.22,0,100000,0.73,8.904,10.21,10.21,21.06,0,0.0,0,None
0.9,3846.42,2,100000,3.11,10.126,9.893,9.893,23.58,0,0.0,0,None
1.0,0.0,0,100000,0.0,8.915,9.223,9.223,20.0,0,0.0,0,None
1.1,0.0,0,100000,0.0,8.899,8.899,8.899,20.0,0,0.0,0,None
1.2,0.0,0,100000,0.0,9.724,9.724,9.724,20.0,0,0.0,0,None
1.3,0.0,0,100000,0.0,7.105,7.105,7.105,20.0,0,0.0,0,None
1.4,0.0,0,100000,0.0,7.289,7.289,7.289,20.41,0,0.0,0,None
1.5,0.0,0,100000,0.0,8.634,8.634,8.634,20.0,0,0.0,0,None
1.6,0.0,0,100000,0.0,8.035,8.035,8.035,20.0,0,0.0,0,None
1.7,0.0,0,100000,0.0,9.562,9.562,9.562,20.0,0,0.0,0,None
1.8,0.0,0,100000,0.0,8.022,8.022,8.022,20.32,0,0.0,0,None
1.9,0.0,0,100000,0.0,7.338,7.338,7.338,20.0,0,0.0,0,None
2.0,7536.12,5,100000,5.97,10.707,10.105,10.105,26.0,0,0.0,0,None
2.1,0.0,0,100000,0.0,8.588,9.191,9.191,20.14,0,0.0,0,None
2.2,0.0,0,100000,0.0,8.847,8.847,8.847,20.68,0,0.0,0,None
2.3,0.0,0,100000,0.0,6.959,6.959,6.959,20.0,0,0.0,0,None
2.4,0.0,0,100000,0.0,7.915,7.915,7.915,20.0,0,0.0,0,None
2.5,0.0,0,100000,0.0,8.599,8.599,8.599,20.09,0,0.0,0,None
2.6,0.0,0,100000,0.0,6.981,6.981,6.981,20.9,0,0.0,0,None
2.7,0.0,0,100000,0.0,8.708,8.708,8.708,20.62,0,0.0,0,None
2.8,0.0,0,100000,0.0,7.432,7.432,7.432,20.1,0,0.0,0,None
2.9,0.0,0,100000,0.0,7.698,7.698,7.698,20.0,0,0.0,0,None
3.0,0.0,0,100000,0.0,7.223,7.223,7.223,20.4,0,0.0,0,None
3.1,5001.25,3,100000,4.14,10.066,9.666,9.666,23.65,0,0.0,0,None
3.2,0.0,0,100000,0.0,7.729,8.129,8.129,20.24,0,0.0,0,None
3.3,0.0,0,100000,0.0,6.38,6.38,6.38,20.25,0,0.0,0,None
3.4,0.0,0,100000,0.0,8.544,8.544,8.544,20.53,0,0.0,0,None
