time,queue,rtt,throughput,packet_rate,loss
0.0,5,0.023819,83.24,6653,0.0
0.01,4,0.02164,83.9,6749,0.0
0.02,4,0.021362,78.45,6277,0.0
0.03,5,0.022269,80.0,6347,0.0
0.04,5,0.022244,80.39,6369,0.0
0.05,3,0.022587,78.4,6197,0.0
0.06,5,0.021004,81.26,6573,0.0
0.07,4,0.02132,79.52,6401,0.0
0.08,6,0.021283,77.86,6223,0.0
0.09,7,0.021788,79.44,6332,0.0
0.1,2,0.021177,78.0,6211,0.0
0.11,5,0.02281,82.07,6620,0.0
0.12,5,0.021351,83.8,6799,0.0
0.13,6,0.023172,80.49,6408,0.0
0.14,4,0.022712,80.22,6474,0.0
0.15,6,0.024335,80.3,6425,0.0
0.16,6,0.02247,82.36,6578,0.0
0.17,1,0.02,82.32,6660,0.0
0.18,7,0.021798,79.77,6381,0.0
0.19,2,0.02,80.5,6454,0.0
0.2,11,0.02565,81.3,6516,0.0
0.21,4,0.020085,77.72,6136,0.0
0.22,3,0.022418,82.42,6608,0.0
0.23,8,0.022332,83.47,6649,0.0
0.24,3,0.020515,82.33,6515,0.0
0.25,3,0.021048,77.51,6174,0.0
0.26,5,0.021296,76.06,6058,0.0
0.27,8,0.024132,81.42,6565,0.0
0.28,3,0.023013,78.48,6225,0.0
0.29,2,0.020143,80.57,6406,0.0
0.3,5,0.021568,83.07,6657,0.0
0.31,3,0.021037,78.68,6228,0.0
0.32,8,0.023741,79.24,6306,0.0
0.33,10,0.023847,80.55,6360,0.0
0.34,3,0.022587,77.4,6238,0.0
0.35,2,0.021947,78.48,6263,0.0
0.36,5,0.020815,80.04,6402,0.0
0.37,7,0.023321,79.39,6397,0.0
0.38,6,0.02392,81.21,6460,0.0
0.39,6,0.021905,85.53,6826,0.0
0.4,2,0.020506,80.19,6362,0.0
0.41,4,0.021072,78.31,6211,0.0
0.42,9,0.023093,82.83,6580,0.0
0.43,7,0.021132,76.81,6120,0.0
0.44,11,0.023072,77.21,6157,0.0
0.45,8,0.023277,78.8,6318,0.0
0.46,3,0.022714,79.42,6309,0.0
0.47,2,0.020187,78.75,6315,0.0
0.48,3,0.020557,79.92,6417,0.0
0.49,4,0.023302,80.54,6419,0.0
0.5,5,0.020892,82.12,6529,0.0
0.51,5,0.020339,80.17,6417,0.0
0.52,4,0.020771,78.86,6298,0.0
0.53,3,0.020537,82.01,6571,0.0
0.54,8,0.021453,78.34,6345,0.0
0.55,2,0.020672,76.71,6140,0.0
0.56,1,0.021348,82.39,6559,0.0
0.57,4,0.020314,82.26,6536,0.0
0.58,5,0.022088,78.39,6228,0.0
0.59,4,0.021996,79.17,6260,0.0
0.6,3,0.021117,78.13,6297,0.0
0.61,4,0.021786,80.62,6337,0.0
0.62,8,0.023397,83.43,6698,0.0
0.63,2,0.02,81.36,6465,0.0
0.64,2,0.022299,82.03,6536,0.0
0.65,2,0.022048,81.59,6482,0.0
0.66,7,0.02399,79.95,6468,0.0
0.67,6,0.023414,82.11,6569,0.0
0.68,7,0.021225,81.43,6553,0.0
0.69,6,0.023326,82.81,6689,0.0
0.7,7,0.023456,79.01,6328,0.0
0.71,6,0.020863,76.45,6056,0.0
0.72,4,0.021385,82.01,6549,0.0
0.73,2,0.021077,80.61,6411,0.0
0.74,3,0.022864,79.32,6320,0.0
0.75,4,0.022325,79.42,6348,0.0
0.76,7,0.021935,85.0,6793,0.0
0.77,4,0.023295,78.6,6308,0.0
0.78,3,0.021244,78.17,6281,0.0
0.79,2,0.020544,80.04,6396,0.0
0.8,6,0.022073,82.22,6597,0.0
0.81,3,0.02,84.41,6725,0.0
0.82,5,0.02189,81.16,6558,0.0
0.83,9,0.024097,77.29,6154,0.0
0.84,6,0.022015,83.76,6760,0.0
0.85,6,0.02282,79.77,6307,0.0
0.86,9,0.022736,78.12,6230,0.0
0.87,4,0.021459,77.62,6193,0.0
0.88,9,0.023917,81.44,6529,0.0
0.89,2,0.02099,80.23,6461,0.0
0.9,10,0.022395,80.42,6371,0.0
0.91,6,0.021961,82.29,6527,0.0
0.92,10,0.025677,78.09,6177,0.0
0.93,5,0.021508,82.41,6658,0.0
0.94,2,0.020816,78.62,6304,0.0
0.95,7,0.022713,83.96,6662,0.0
0.96,9,0.025168,80.81,6442,0.0
0.97,7,0.02409,77.74,6278,0.0
0.98,3,0.022008,75.51,6026,0.0
0.99,4,0.020627,81.15,6475,0.0
1.0,6,0.022759,78.75,6260,0.0
1.01,4,0.022168,79.16,6281,0.0
1.02,4,0.020901,80.97,6536,0.0
1.03,6,0.021529,81.42,6597,0.0
1.04,8,0.024905,81.81,6495,0.0
1.05,7,0.022499,76.98,6228,0.0
1.06,5,0.023615,82.14,6546,0.0
1.07,7,0.023797,78.09,6273,0.0
1.08,5,0.022408,74.69,6045,0.0
1.09,5,0.022453,76.8,6136,0.0
1.1,8,0.0218,79.54,6346,0.0
1.11,8,0.023407,77.1,6208,0.0
1.12,9,0.025017,78.83,6250,0.0
1.13,5,0.022681,79.62,6426,0.0
1.14,7,0.022954,78.52,6288,0.0
1.15,10,0.025712,77.84,6198,0.0
1.16,10,0.023815,76.26,6070,0.0
1.17,9,0.02298,78.74,6230,0.0
1.18,8,0.023354,74.49,5932,0.0
1.19,7,0.023566,77.17,6160,0.0
1.2,8,0.021482,76.61,6075,0.0
1.21,12,0.025085,77.91,6230,0.0
1.22,12,0.02561,77.87,6253,0.0
1.23,11,0.02413,80.13,6399,0.0
1.24,12,0.025907,81.29,6536,0.0
1.25,13,0.025841,75.79,6022,0.0
1.26,14,0.027741,81.91,6602,0.0
1.27,13,0.024449,76.26,6106,0.0
1.28,10,0.024831,78.05,6321,0.0
1.29,15,0.024983,78.61,6409,0.0
1.3,13,0.023585,82.36,6565,0.0
1.31,13,0.023164,76.27,6080,0.0
1.32,16,0.026938,73.63,5878,0.0
1.33,13,0.025384,80.07,6435,0.0
1.34,19,0.027121,75.28,6088,0.0
1.35,14,0.023826,76.08,6053,0.0
1.36,16,0.02571,74.42,5972,0.0
1.37,13,0.025204,75.78,6055,0.0
1.38,18,0.027993,74.66,6003,0.0
1.39,15,0.025983,77.52,6277,0.0
1.4,19,0.027852,76.16,6080,0.0
1.41,15,0.025624,74.46,5873,0.0
1.42,17,0.028549,77.63,6247,0.0
1.43,20,0.026982,75.95,6034,0.0
1.44,18,0.026501,71.55,5716,0.0
1.45,20,0.027508,76.88,6189,0.0
1.46,22,0.029343,75.2,6030,0.0
1.47,23,0.028161,77.39,6186,0.0
1.48,21,0.028536,74.63,5941,0.0
1.49,22,0.028965,72.57,5660,0.0
1.5,24,0.028906,73.5,5914,0.0
1.51,26,0.03073,75.27,6008,0.0
1.52,25,0.028992,71.87,5825,0.0
1.53,24,0.028483,72.27,5801,0.0
1.54,29,0.0317,72.43,5767,0.0
1.55,30,0.03034,70.3,5677,0.0
1.56,33,0.031055,70.8,5721,0.0
1.57,27,0.031333,72.37,5778,0.0
1.58,33,0.034249,74.12,5989,0.0
1.59,30,0.031533,72.05,5736,0.0
1.6,34,0.032932,71.0,5687,0.0
1.61,32,0.033806,69.11,5557,0.0
1.62,37,0.033654,72.63,5849,0.0
1.63,37,0.033437,70.96,5707,0.0
1.64,37,0.035508,68.33,5449,0.0
1.65,40,0.036009,71.19,5749,0.0
1.66,42,0.037865,70.15,5605,0.0
1.67,40,0.03386,67.03,5333,0.0
1.68,43,0.035799,68.07,5417,0.0
1.69,48,0.039214,66.9,5448,0.0
1.7,45,0.038418,72.76,5783,0.0
1.71,53,0.042047,68.15,5516,0.0
1.72,48,0.039375,67.05,5307,0.0
1.73,50,0.040165,67.2,5400,0.0
1.74,57,0.042411,68.58,5501,0.0
1.75,51,0.041991,65.22,5298,0.0
1.76,54,0.040497,63.77,5068,0.0
1.77,58,0.043559,66.19,5248,0.0
1.78,58,0.042212,63.69,5089,0.0
1.79,64,0.046135,61.44,4998,0.0
1.8,60,0.042963,60.58,4802,0.0
1.81,59,0.044344,65.69,5125,0.0
1.82,62,0.044912,62.42,4996,0.0
1.83,66,0.048145,60.48,4885,0.0
1.84,70,0.047719,60.7,4805,0.0
1.85,68,0.047625,62.28,5024,0.0
1.86,69,0.04682,59.58,4714,0.0
1.87,75,0.049712,56.76,4533,0.0
1.88,75,0.050106,59.79,4820,0.0
1.89,79,0.050073,61.04,4823,0.0
1.9,76,0.048982,60.38,4839,0.0
1.91,77,0.0514,56.45,4576,0.0
1.92,81,0.052254,59.58,4790,0.0
1.93,89,0.055007,56.93,4518,0.0
1.94,87,0.054063,58.45,4751,0.0
1.95,85,0.053302,56.57,4558,0.0
1.96,86,0.054513,51.84,4054,0.0
1.97,93,0.057645,57.84,4670,0.0
1.98,95,0.055908,53.9,4283,0.0
1.99,92,0.058213,54.41,4362,0.0
2.0,93,0.058542,50.02,4052,0.0
2.01,98,0.056869,53.17,4226,0.046
2.02,96,0.059486,53.82,4223,0.0
2.03,103,0.062255,54.94,4470,0.5633
2.04,103,0.0612,53.33,4324,0.757
2.05,105,0.060703,51.09,4082,0.8764
2.06,107,0.063815,46.36,3751,1.3388
2.07,104,0.061359,49.18,3915,0.7796
2.08,115,0.066549,47.19,3780,2.6618
2.09,109,0.065819,48.32,3858,1.7603
2.1,113,0.065452,44.89,3574,2.1887
2.11,114,0.064683,46.38,3728,2.2754
2.12,117,0.066464,45.25,3559,2.7313
2.13,118,0.066411,44.68,3561,3.1029
2.14,120,0.068433,44.2,3551,3.1641
2.15,123,0.068394,44.51,3652,3.5545
2.16,120,0.067527,44.86,3530,3.0423
2.17,123,0.067916,38.81,3130,3.6833
2.18,124,0.069468,38.58,3117,3.8411
2.19,128,0.071377,42.19,3281,4.6205
2.2,129,0.068915,42.02,3382,4.4606
2.21,133,0.07346,42.34,3431,5.1405
2.22,135,0.073954,40.08,3235,5.6542
2.23,131,0.071635,41.12,3285,5.0618
2.24,137,0.076829,40.94,3291,5.7423
2.25,139,0.076558,38.82,3114,6.0796
2.26,135,0.072904,41.92,3269,5.4016
2.27,141,0.077238,39.87,3199,6.6163
