time,queue_bytes,queue_packets,arrival_rate_mbps,departure_rate_mbps,throughput_mbps,packet_rate,rtt_ms,packet_loss
0.0,0,0,0.0,0.0,0.0,0,14.99,0
0.1,0,0,5.45,5.45,5.45,454,15.02,0
0.2,0,0,10.55,10.0,10.0,833,14.97,0
0.3,10500,7,15.21,10.0,10.0,833,16.36,0
0.4,30000,20,20.58,10.0,7.8,650,18.95,11
0.5,30000,20,25.0,10.0,7.2,600,18.97,14
0.6,30000,20,23.36,10.0,7.8,650,19.01,11
0.7,30000,20,24.22,10.0,7.6,633,18.99,12
0.8,30000,20,23.58,10.0,7.4,616,18.99,13
0.9,30000,20,23.09,10.0,7.4,616,19.0,13
1.0,30000,20,24.57,10.0,7.2,600,18.99,14
1.1,30000,20,21.36,10.0,8.0,666,18.95,10
1.2,30000,20,17.92,10.0,8.6,716,19.0,7
1.3,30000,20,14.13,10.0,9.2,766,19.05,4
1.4,30000,20,10.82,10.0,9.8,816,18.95,1
1.5,25500,17,7.16,8.86,8.86,738,18.37,0
1.6,19500,13,6.0,7.3,7.3,608,17.61,0
1.7,13500,9,6.0,6.9,6.9,575,16.77,0
1.8,7500,5,6.0,6.5,6.5,541,15.97,0
1.9,1500,1,6.0,6.1,6.1,508,15.19,0
2.0,0,0,6.0,6.0,6.0,500,15.01,0
2.1,0,0,6.21,6.21,6.21,517,15.03,0
2.2,0,0,6.5,6.5,6.5,541,14.99,0
2.3,0,0,6.89,6.89,6.89,574,15.02,0
2.4,0,0,7.16,7.16,7.16,596,15.01,0
2.5,0,0,7.46,7.46,7.46,621,15.05,0
2.6,0,0,7.83,7.83,7.83,652,15.02,0
2.7,0,0,8.14,8.14,8.14,678,15.01,0
2.8,0,0,8.53,8.53,8.53,710,15.01,0
2.9,0,0,8.79,8.79,8.79,732,14.98,0
3.0,0,0,9.02,9.02,9.02,751,14.95,0
3.1,0,0,9.3,9.3,9.3,775,14.99,0
3.2,0,0,9.56,9.56,9.56,796,14.95,0
3.3,0,0,9.8,9.8,9.8,816,15.02,0
3.4,0,0,10.16,10.0,10.0,833,15.01,0
3.5,0,0,10.55,10.0,10.0,833,15.02,0
3.6,1500,1,10.93,10.0,10.0,833,15.24,0
3.7,3000,2,11.22,10.0,10.0,833,15.36,0
3.8,6000,4,11.49,10.0,10.0,833,15.82,0
3.9,9000,6,11.82,10.0,10.0,833,16.21,0
4.0,13500,9,12.07,10.0,10.0,833,16.81,0
4.1,18000,12,12.35,10.0,10.0,833,17.45,0
4.2,22500,15,12.5,10.0,10.0,833,18.02,0
4.3,27000,18,12.5,10.0,10.0,833,18.58,0
4.4,30000,20,12.5,10.0,9.0,750,18.99,5
4.5,30000,20,12.5,10.0,9.4,783,18.97,3
4.6,30000,20,14.82,10.0,9.2,766,18.98,4
4.7,30000,20,16.83,10.0,8.6,716,18.96,7
4.8,30000,20,18.91,10.0,8.0,666,19.03,10
4.9,30000,20,20.69,10.0,7.8,650,18.98,11
5.0,30000,20,22.0,10.0,7.8,650,19.01,11
5.1,30000,20,22.0,10.0,8.0,666,19.04,10
5.2,30000,20,22.0,10.0,7.8,650,19.04,11
5.3,30000,20,22.0,10.0,7.6,633,19.04,12
5.4,30000,20,22.0,10.0,8.0,666,18.98,10
5.5,30000,20,22.0,10.0,8.0,666,19.03,10
5.6,27000,18,7.91,9.71,9.71,809,18.55,0
5.7,24000,16,7.71,9.31,9.31,775,18.19,0
5.8,21000,14,7.67,9.07,9.07,755,17.76,0
5.9,18000,12,8.1,9.3,9.3,775,17.44,0
6.0,16500,11,8.48,9.58,9.58,798,17.2,0
6.1,16500,11,9.31,10.0,10.0,833,17.19,0
6.2,16500,11,10.06,10.0,10.0,833,17.25,0
6.3,16500,11,9.84,10.0,10.0,833,17.2,0
6.4,16500,11,10.38,10.0,10.0,833,17.18,0
6.5,16500,11,10.59,10.0,10.0,833,17.21,0
6.6,19500,13,11.48,10.0,10.0,833,17.56,0
6.7,22500,15,11.63,10.0,10.0,833,18.04,0
6.8,25500,17,11.89,10.0,10.0,833,18.36,0
6.9,30000,20,12.35,10.0,9.4,783,18.97,3
7.0,30000,20,12.65,10.0,9.0,750,18.99,5
7.1,30000,20,12.24,10.0,9.4,783,18.99,3
7.2,30000,20,12.55,10.0,9.2,766,18.99,4
7.3,30000,20,12.55,10.0,9.4,783,18.97,3
7.4,30000,20,11.98,10.0,9.6,800,19.04,2
7.5,30000,20,11.45,10.0,9.2,766,19.02,4
7.6,30000,20,11.53,10.0,9.2,766,18.97,4
7.7,30000,20,10.95,10.0,9.4,783,19.04,3
7.8,30000,20,9.91,10.0,10.0,833,18.98,0
7.9,30000,20,9.38,10.0,10.0,833,19.04,0
8.0,30000,20,9.66,10.0,10.0,833,18.98,0
8.1,28500,19,8.98,10.0,10.0,833,18.83,0
