time,queue_bytes,queue_packets,queue_capacity_bytes,queue_delay_ms,arrival_rate_mbps,departure_rate_mbps,throughput_mbps,rtt_ms,packet_loss,packet_drop_rate,dropped_packets,drop_reason
0.0,0.0,0,52500,0.0,7.653,7.509,7.509,20.0,0,0.0,0,None
0.1,31500.0,21,52500,25.2,11.754,9.849,9.849,45.2,0,0.0,0,None
0.2,39000.0,26,52500,31.2,10.767,9.68,9.68,51.2,0,0.0,0,None
0.3,48000.0,32,52500,38.4,12.025,9.905,9.905,58.4,0,0.0,0,None
0.4,43500.0,29,52500,34.8,6.194,9.934,6.194,54.8,0,0.0,0,None
0.5,46500.0,31,52500,37.2,11.259,9.756,9.756,57.2,0,0.0,0,None
0.6,52500.0,35,52500,42.0,13.849,9.899,9.899,62.0,1,0.0335,4,QueueOverflow
0.7,52500.0,35,52500,42.0,12.026,9.943,9.943,62.0,1,0.0196,2,QueueOverflow
0.8,49500.0,33,52500,39.6,6.812,9.547,6.812,59.6,0,0.0,0,None
0.9,52500.0,35,52500,42.0,12.915,9.518,9.518,62.0,1,0.0444,5,QueueOverflow
1.0,0.0,0,52500,0.0,3.775,7.356,3.775,20.0,0,0.0,0,None
1.1,13500.0,9,52500,10.8,10.203,9.625,9.625,30.8,0,0.0,0,None
1.2,27000.0,18,52500,21.6,11.226,9.652,9.652,41.6,0,0.0,0,None
1.3,39000.0,26,52500,31.2,11.819,9.663,9.663,51.2,0,0.0,0,None
1.4,52500.0,35,52500,42.0,14.532,9.636,9.636,62.0,1,0.032,4,QueueOverflow
1.5,52500.0,35,52500,42.0,12.504,9.921,9.921,62.0,1,0.028,3,QueueOverflow
1.6,52500.0,35,52500,42.0,13.997,9.819,9.819,62.0,1,0.0411,5,QueueOverflow
1.7,52500.0,35,52500,42.0,14.129,9.985,9.985,62.0,1,0.0248,3,QueueOverflow
1.8,52500.0,35,52500,42.0,12.71,9.898,9.898,62.0,1,0.0364,4,QueueOverflow
1.9,52500.0,35,52500,42.0,12.625,9.872,9.872,62.0,1,0.0187,2,QueueOverflow
2.0,52500.0,35,52500,42.0,14.489,9.981,9.981,62.0,1,0.0082,1,QueueOverflow
2.1,52500.0,35,52500,42.0,12.019,9.844,9.844,62.0,1,0.0196,2,QueueOverflow
2.2,52500.0,35,52500,42.0,12.329,9.578,9.578,62.0,1,0.0096,1,QueueOverflow
2.3,45000.0,30,52500,36.0,7.99,9.83,7.99,56.0,0,0.0,0,None
2.4,37500.0,25,52500,30.0,6.763,9.977,6.763,50.0,0,0.0,0,None
2.5,30000.0,20,52500,24.0,6.942,9.777,6.942,44.0,0,0.0,0,None
2.6,22500.0,15,52500,18.0,7.967,9.71,7.967,38.0,0,0.0,0,None
2.7,15000.0,10,52500,12.0,6.404,9.678,6.404,32.0,0,0.0,0,None
2.8,7500.0,5,52500,6.0,8.159,9.507,8.159,26.0,0,0.0,0,None
2.9,0.0,0,52500,0.0,3.062,4.184,3.062,20.0,0,0.0,0,None
3.0,0.0,0,52500,0.0,7.544,7.422,7.422,20.0,0,0.0,0,None
3.1,0.0,0,52500,0.0,5.656,5.897,5.656,20.0,0,0.0,0,None
3.2,0.0,0,52500,0.0,5.95,5.966,5.95,20.0,0,0.0,0,None
3.3,0.0,0,52500,0.0,4.653,4.693,4.653,20.0,0,0.0,0,None
3.4,0.0,0,52500,0.0,5.664,5.594,5.594,20.0,0,0.0,0,None
3.5,0.0,0,52500,0.0,6.267,6.54,6.267,20.0,0,0.0,0,None
3.6,0.0,0,52500,0.0,5.574,5.498,5.498,20.0,0,0.0,0,None
3.7,0.0,0,52500,0.0,6.227,6.013,6.013,20.0,0,0.0,0,None
3.8,0.0,0,52500,0.0,6.433,6.635,6.433,20.0,0,0.0,0,None
3.9,0.0,0,52500,0.0,4.367,4.282,4.282,20.0,0,0.0,0,None
4.0,3000.0,2,52500,2.4,11.185,9.513,9.513,22.4,0,0.0,0,None
4.1,3000.0,2,52500,2.4,10.015,9.97,9.97,22.4,0,0.0,0,None
4.2,4500.0,3,52500,3.6,11.481,9.694,9.694,23.6,0,0.0,0,None
4.3,7500.0,5,52500,6.0,11.32,9.729,9.729,26.0,0,0.0,0,None
4.4,7500.0,5,52500,6.0,9.903,9.971,9.903,26.0,0,0.0,0,None
4.5,15000.0,10,52500,12.0,12.292,9.981,9.981,32.0,0,0.0,0,None
4.6,19500.0,13,52500,15.6,10.237,9.598,9.598,35.6,0,0.0,0,None
4.7,30000.0,20,52500,24.0,10.086,9.55,9.55,44.0,0,0.0,0,None
4.8,31500.0,21,52500,25.2,11.413,9.547,9.547,45.2,0,0.0,0,None
4.9,24000.0,16,52500,19.2,7.579,9.536,7.579,39.2,0,0.0,0,None
5.0,36000.0,24,52500,28.8,10.469,9.922,9.922,48.8,0,0.0,0,None
5.1,34500.0,23,52500,27.6,8.061,9.907,8.061,47.6,0,0.0,0,None
5.2,34500.0,23,52500,27.6,9.677,9.559,9.559,47.6,0,0.0,0,None
5.3,40500.0,27,52500,32.4,12.069,9.814,9.814,52.4,0,0.0,0,None
5.4,43500.0,29,52500,34.8,11.975,9.868,9.868,54.8,0,0.0,0,None
5.5,43500.0,29,52500,34.8,9.447,9.641,9.447,54.8,0,0.0,0,None
5.6,34500.0,23,52500,27.6,6.454,9.875,6.454,47.6,0,0.0,0,None
5.7,37500.0,25,52500,30.0,11.32,9.995,9.995,50.0,0,0.0,0,None
5.8,40500.0,27,52500,32.4,11.739,9.686,9.686,52.4,0,0.0,0,None
5.9,45000.0,30,52500,36.0,12.032,9.67,9.67,56.0,0,0.0,0,None
6.0,39000.0,26,52500,31.2,7.642,9.929,7.642,51.2,0,0.0,0,None
